A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5
1.1578,1.035,1.5215,1.2735,0,54.8,19,4.9,1.0,0.25667999999999996,1.7615927,1.2735,0.12157339514671572
1.162,1.0442,1.5272,1.2807,0,54.8,19,4.9,1.0,0.25739529999999994,1.7746063999999997,1.2807,0.14968755121700683
1.1627,1.0448,1.5226,1.278,0,54.8,19,4.9,1.0,0.2555580799999999,1.77032702,1.278,0.14323092967266504
1.1614,1.0453,1.517,1.279,0,54.8,19,4.9,1.0,0.24878139999999996,1.7618437999999998,1.279,0.13238625598179898
1.1685,1.0594,1.516,1.2729,0,54.8,19,4.9,1.0,0.2575401400000001,1.771446,1.2729,0.15069055928036068
1.1694,1.0614,1.5117,1.2706,0,54.8,19,4.9,1.0,0.2559035400000001,1.76778198,1.2706,0.14567567746591847
1.1681,1.0596,1.5066,1.2679,0,54.8,19,4.9,1.0,0.25292651999999993,1.7598594599999997,1.2679,0.13155177931548367
1.14268899134514,1.04797451155663,1.48915101090723,1.27414552676882,1,332.9,14,2.1,1.0,0.22532026722194687,1.701636466614178,1.27414552676882,0.02771092446504908
1.14090133462752,1.04556853530839,1.48198466702635,1.26309056702629,1,332.9,14,2.1,1.0,0.22886878352471088,1.6907982845078835,1.26309056702629,-0.0006163204720350812
1.14193629377983,1.04737301749457,1.4747420854446,1.27414552676882,1,332.9,14,2.1,1.0,0.21009942295927833,1.684061511333744,1.27414552676882,-0.0006952214032178716
1.15237997249858,1.06619118886477,1.67189277986974,1.29085079926863,1,332.9,14,2.1,1.0,0.4062636023044841,1.9266557556868653,1.29085079926863,0.31779896007575603
1.15256814688991,1.06378521261652,1.66266801806562,1.27697068314746,1,332.9,14,2.1,1.0,0.41029912143153974,1.916338196475011,1.27697068314746,0.29821970086995364
1.15162727493327,1.06292593538501,1.65435810867183,1.28802564288998,1,332.9,14,2.1,1.0,0.38938427885307014,1.9052039204534983,1.28802564288998,0.29395320379411904
