A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4
1.1685,1.0594,1.516,1.2729,0,54.8,19,4.9,-0.43558810243438817,2.127939547589821,0.6284110458364907,1.2729
1.1694,1.0614,1.5117,1.2706,0,54.8,19,4.9,-0.46373423887550724,2.1211704740830304,0.6434336157060051,1.2706
1.1681,1.0596,1.5066,1.2679,0,54.8,19,4.9,-0.47995290633144916,2.1139078973955048,0.6450988123844325,1.2679
1.14268899134514,1.04797451155663,1.48915101090723,1.27414552676882,1,332.9,14,2.1,-0.5202919282119294,2.2255830562374666,0.5953275184003339,1.27414552676882
1.14090133462752,1.04556853530839,1.48198466702635,1.26309056702629,1,332.9,14,2.1,-0.5944751397967205,2.179111807060397,0.5997985398822909,1.26309056702629
1.14193629377983,1.04737301749457,1.4747420854446,1.27414552676882,1,332.9,14,2.1,-0.5346479493079286,2.2367644534795135,0.6148895573154931,1.27414552676882
1.15237997249858,1.06619118886477,1.67189277986974,1.29085079926863,1,332.9,14,2.1,-0.31095670525496644,2.1888599494034207,0.3639984840481091,1.29085079926863
1.15256814688991,1.06378521261652,1.66266801806562,1.27697068314746,1,332.9,14,2.1,-0.391076786729452,2.119280911885504,0.3748067915669493,1.27697068314746
1.15162727493327,1.06292593538501,1.65435810867183,1.28802564288998,1,332.9,14,2.1,-0.32628063782104055,2.1826708972610023,0.3836739907144404,1.28802564288998
1.15567302434684,1.04969306601967,1.53283521350027,1.28937680463629,1,332.9,14,2.1,-0.3224460262024569,2.2269986386012492,0.5489939597540802,1.28937680463629
1.15539076275985,1.05166940365215,1.52444906640562,1.27279436502251,1,332.9,14,2.1,-0.44555786502263905,2.1552131318861565,0.5708617864002205,1.27279436502251
1.15557893715118,1.05063827097433,1.51613915701183,1.28114700127241,1,332.9,14,2.1,-0.3940227272504502,2.1982833098668366,0.5797510996179588,1.28114700127241
1.11690909973307,1.02253990550377,1.42412025207326,1.27549668851512,0,33.0,18,0.9,-0.5364356840474456,2.330392974230594,0.5825666417705055,1.27549668851512
1.11606231497209,1.02168062827225,1.4167251950898,1.27832184489377,0,33.0,18,0.9,-0.5242577349929889,2.352718151984564,0.5887129611952823,1.27832184489377
1.11719136132007,1.02168062827225,1.41032122821752,1.26714405226522,0,33.0,18,0.9,-0.5965354434590557,2.2913519109557554,0.6030261624248244,1.26714405226522
1.14297125293213,1.05235682543736,1.45705493884498,1.26124807373587,0,33.0,18,0.9,-0.6761343328592646,2.192368583297499,0.6615465852643271,1.26124807373587
1.14334760171479,1.05089605414379,1.44981235726324,1.27242586636442,0,33.0,18,0.9,-0.5901802738513449,2.2461057050292386,0.6666155512211906,1.27242586636442
1.14250081695381,1.05072419869748,1.44226482487805,1.26960070998578,0,33.0,18,0.9,-0.6210695223379883,2.240343210556959,0.6772444587360206,1.26960070998578
1.1472992639327,1.04866193334185,1.46597474984565,1.2745140254269,0,33.0,18,0.9,-0.5182140412034841,2.2264620680191487,0.6413766751346514,1.2745140254269
1.14720517673704,1.04737301749457,1.45880840596477,1.29121929792671,0,33.0,18,0.9,-0.4147013852476429,2.3143747883138737,0.6445892062420777,1.29121929792671
1.14626430478039,1.04754487294088,1.45126087357958,1.27733918180555,0,33.0,18,0.9,-0.512617329899856,2.2519759251006555,0.6588325204309977,1.27733918180555
1.1713,1.0246,1.76977777777778,1.31,0,42.0,7,1.9,0.2267951618494488,2.0976871516107933,0.13595589320200852,1.31
1.1705,1.0242,1.76266666666667,1.31811764705882,0,42.0,7,1.9,0.2511183812660127,2.150837302087627,0.14438153211960655,1.31811764705882
1.1709,1.0242,1.75644444444444,1.312,0,42.0,7,1.9,0.22214196414798204,2.1169312266888727,0.15459772326367455,1.312
1.1822,1.0544,1.78488888888889,1.31682352941176,0,42.0,7,1.9,0.1550484338588567,2.121234116188916,0.18815430380673048,1.31682352941176
1.1805,1.0523,1.77855555555556,1.32294117647059,0,42.0,7,1.9,0.1797153672938714,2.163726545823115,0.19172581940219893,1.32294117647059
1.1815,1.0556,1.77188888888889,1.30858823529412,0,42.0,7,1.9,0.09590888839359502,2.0886573960651287,0.21150165404216345,1.30858823529412
1.1905,1.0674,1.83233333333333,1.31329411764706,0,42.0,7,1.9,0.14819182904386996,2.058489376323692,0.14725069167143837,1.31329411764706
1.1897,1.0666,1.824,1.32976470588235,0,42.0,7,1.9,0.21346526372234575,2.155997947257234,0.15900432499664421,1.32976470588235
1.1913,1.0694,1.81866666666667,1.31129411764706,0,42.0,7,1.9,0.11735457434110574,2.0552201241431587,0.17529715646850555,1.31129411764706
1.1744,1.1011,1.4772,1.241,0,1.0,405,0.0,-1.0439227059642284,2.0880018507859965,0.836411417594698,1.241
1.175,1.1024,1.4733,1.2381,0,1.0,405,0.0,-1.084349899861016,2.081353895426721,0.8495135222562544,1.2381
1.1743,1.1001,1.4694,1.2371,0,1.0,405,0.0,-1.0794757240626758,2.0782123140940643,0.8484733883181248,1.2371
1.1861,1.1036,1.4767,1.2288,0,1.0,405,0.0,-1.0837276904731399,2.0178120077097463,0.8757696469143664,1.2288
1.1858,1.1026,1.4716,1.2284,0,1.0,405,0.0,-1.0846627395279618,2.019350145922163,0.8816892557224749,1.2284
1.1855,1.105,1.4674,1.2249,0,1.0,405,0.0,-1.1529574668297173,2.016969694838955,0.8971867880549883,1.2249
1.1913,1.0991,1.4833,1.2349,0,1.0,405,0.0,-0.9298933303573562,2.009483291647553,0.8603086875588836,1.2349
1.192,1.0982,1.4789,1.2317,0,1.0,405,0.0,-0.9481224741098615,1.9984936122138053,0.8683565203231762,1.2317
1.1912,1.0976,1.4739,1.232,0,1.0,405,0.0,-0.9510079672481564,2.0044240879506345,0.8738930774255462,1.232
1.1975,1.0987,1.71088888888889,1.31517647058824,0,93.1,12,4.4,-0.11587052925085728,2.159919174526231,0.4416540519975669,1.31517647058824
1.1978,1.0963,1.70588888888889,1.31517647058824,0,93.1,12,4.4,-0.10493427477155426,2.158111364233955,0.4448694629355599,1.31517647058824
