B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6
10576,9833,9106,9081,11725,12204,10621,1,-12.04072463946214,8911338.80051752,-377244414286.82355,-3.8492627872500536e+16,10576.0,-4.097850890468211e+26
10679,9832,8888,8651,10727,11796,10659,1,-18.297369332807328,12228083.276561668,-244640684470.2016,-3.326236133351876e+16,10679.0,-3.4474530736347185e+26
10630,9907,9186,9206,12007,12844,11120,1,-10.364294910125372,9222043.860461608,-439532515842.745,-4.094490034148412e+16,10630.0,-4.9663065717813445e+26
10614,9861,9115,9057,11748,12748,11189,1,-10.639775330293947,9665502.202697145,-385304091570.3925,-3.906051760115248e+16,10614.0,-4.9571457670297516e+26
10667,9833,8896,8726,11274,12220,10275,1,-23.16959737364135,11629019.823461292,-454268443377.4982,-3.4698206246203656e+16,10667.0,-4.1551563273479264e+26
10649,9810,8841,8631,10673,11662,10206,1,-29.649480823753375,12092002.009826913,-314221688264.68353,-3.254907909567205e+16,10649.0,-3.0645189996804334e+26
10641,9778,8854,8652,10952,11625,10087,1,-22.260129164907976,11263828.77666756,-333177982763.7635,-3.3128585374588736e+16,10641.0,-3.400310764323611e+26
10644,9806,8883,8675,10644,11595,10314,1,-25.63399402475483,11529483.047863388,-273915243755.49338,-3.2842566799353824e+16,10644.0,-2.9613894076129203e+26
10628,9792,8842,8620,10433,11571,10455,1,-26.022945826815246,12124250.271485744,-234712248757.8846,-3.2047685418312364e+16,10628.0,-2.756566321618871e+26
10647,9816,8871,8617,10442,11658,10609,1,-24.082661758033648,12220550.134949502,-221385053264.88525,-3.2280201685093416e+16,10647.0,-2.8652325327160667e+26
10653,9926,9247,9326,12347,13080,11136,1,-9.564168428542905,8611575.07010594,-515906234185.4389,-4.287727631899456e+16,10653.0,-5.3223362187421e+26
10640,9791,8867,8668,10868,11997,10554,1,-20.391396500385444,11791656.21972826,-320839986512.66327,-3.342748521360545e+16,10640.0,-3.643462323177335e+26
10707,9834,8917,8716,11190,12292,10442,1,-23.14194328517224,11525487.155447816,-431732752932.85065,-3.4622182549753936e+16,10707.0,-4.246496835162396e+26
10672,9875,8937,8642,10373,11174,10620,1,-17.610707645139353,12124632.116596986,-109994640834.55159,-3.2539888608401284e+16,10672.0,-2.543635866644277e+26
10633,9837,8978,8813,10903,11646,10591,1,-15.762020828381479,10843400.127634333,-227563676482.42844,-3.4676737391887332e+16,10633.0,-3.278682734293646e+26
10573,9810,9059,9033,11696,12566,10940,1,-11.368591759041356,9530225.093515437,-396784531953.96954,-3.8258053314441944e+16,10573.0,-4.5822836408001415e+26
10591,9816,9036,8953,11532,12422,11007,1,-11.081771267859985,10026100.023373447,-335186571737.1478,-3.739586267965549e+16,10591.0,-4.549790408776153e+26
10691,9825,8884,8696,10751,11986,10649,1,-21.654452012446942,12168285.873362666,-296416935056.608,-3.3568555746537944e+16,10691.0,-3.509267179143005e+26
10594,9861,9092,9004,11531,12561,11246,1,-10.637226338271436,10073101.12626392,-315064224112.9462,-3.817158018190915e+16,10594.0,-4.6153454355922834e+26
10671,9826,8933,8773,11402,12534,10623,1,-17.915210045704494,11344288.342870789,-458283770245.6435,-3.557871289455297e+16,10671.0,-4.692285305654062e+26
10612,9826,9023,8884,11301,12019,10898,1,-11.30830150277802,10281784.252990212,-251924291591.59958,-3.632462326580963e+16,10612.0,-4.106211735112787e+26
10533,9744,8935,8758,11097,11779,10483,1,-14.893033503105611,9998335.99726614,-284133405686.6672,-3.4275808735368548e+16,10533.0,-3.538309320902414e+26
10571,9796,8981,8798,11051,11913,10779,1,-13.86281999711942,10367907.192684464,-250428950268.97366,-3.4903538837557796e+16,10571.0,-3.651631684783746e+26
10668,9803,8894,8751,11794,12421,10301,1,-14.298229065937564,11205000.94910827,-508510039980.5099,-3.598400594677709e+16,10668.0,-5.145707081596445e+26
10656,9868,9053,8946,11534,12691,11336,1,-10.39986513512401,10859794.45017343,-326284625145.14105,-3.791354317776714e+16,10656.0,-5.104928861311572e+26
10672,9890,9073,8969,11545,12479,11054,1,-11.511959793889227,10617242.593896385,-339765964556.72363,-3.794017520680209e+16,10672.0,-4.758835368103751e+26
10679,9931,9228,9224,12132,12982,11094,1,-10.894319890478219,8932308.644832306,-490866773718.2549,-4.155420598079344e+16,10679.0,-5.3024469207934296e+26
10682,9798,8891,8734,11604,12230,10319,1,-14.556329138627662,11211192.38726042,-446269183697.41895,-3.5438673943147644e+16,10682.0,-4.8222307424347735e+26
10636,9772,8863,8690,11287,12088,10309,1,-17.675166818517642,11259494.038781667,-406207586843.84894,-3.4268875435485936e+16,10636.0,-4.2067118166776006e+26
10639,9787,8843,8633,10753,11911,10500,1,-22.562745678254718,12048839.284079013,-309883757491.61975,-3.2877016907025336e+16,10639.0,-3.444495067604234e+26
10652,9800,8870,8640,10467,11786,10572,1,-28.872589748130444,11945180.354895277,-261647865601.40665,-3.2398786289902284e+16,10652.0,-2.910188172881647e+26
10656,9847,8939,8734,10785,12062,10717,1,-22.37573726468516,11728128.813016096,-301384091284.672,-3.402673582925946e+16,10656.0,-3.4554858514027834e+26
10669,9839,8912,8714,10755,11878,10681,1,-19.264913047542876,11985409.094895564,-261886010135.72626,-3.376546803558616e+16,10669.0,-3.407222914851001e+26
10647,9811,8915,8756,12180,12416,10187,1,-11.408925832755582,10864885.523068761,-537888363613.8629,-3.686237669476221e+16,10647.0,-5.614410548222872e+26
10696,9836,8897,8738,10936,12222,10531,1,-26.577463448838618,11982094.371272162,-390391723120.66785,-3.4215158140117064e+16,10696.0,-3.7774986377903526e+26
10636,9778,8846,8617,11981,12523,10166,1,-13.917887861504209,11378899.418682758,-567870453413.8716,-3.528525089901314e+16,10636.0,-5.621173610460944e+26
10625,9760,8839,8611,11444,12597,10569,1,-16.6509682323126,11712058.293240663,-482381505493.3541,-3.4253992174785656e+16,10625.0,-5.059094637938886e+26
10640,9778,8812,8583,10493,11864,10512,1,-30.287865154020768,12433378.039994013,-293255491527.31885,-3.1947413249920892e+16,10640.0,-3.0643328277498102e+26
10711,9841,8909,8689,10565,11835,10524,1,-30.860065257305074,11905724.065452067,-286634265058.5456,-3.3089124026816428e+16,10711.0,-3.0497790904752584e+26
10673,9825,8883,8718,10763,12120,10502,1,-32.150471423135706,12014459.433224676,-368470947009.4036,-3.3600643521339004e+16,10673.0,-3.412948642722254e+26
10662,9813,8894,8749,10984,12110,10614,1,-19.057210383402303,11767779.784215078,-339554773776.0016,-3.435507779650059e+16,10662.0,-3.819067907634639e+26
10624,9769,8849,8733,11278,12429,10449,1,-20.68686193995674,11577841.834954476,-470761848276.8643,-3.4589396041009576e+16,10624.0,-4.3349873223779944e+26
10721,9824,8854,8676,11250,12315,10381,1,-21.3571402178226,12249871.515563553,-451981764757.16406,-3.438327579652043e+16,10721.0,-4.4743486741604414e+26
10630,9751,8783,8512,11317,11733,10050,1,-15.039291982790852,11833323.512003615,-364520520671.33484,-3.2911708985020868e+16,10630.0,-4.259138920075542e+26
10613,9749,8826,8635,11670,12479,10320,1,-15.182056457364467,11447769.600787831,-514169490042.8958,-3.467115805055524e+16,10613.0,-5.130413736592769e+26
10618,9741,8788,8575,10745,11851,10417,1,-21.69916192290196,12097781.961314794,-311717667044.99005,-3.2240731202429508e+16,10618.0,-3.470298597009825e+26
10671,9814,8851,8599,10328,11467,10300,1,-36.661984560415746,12151871.038175182,-243386641303.5297,-3.1684957066946096e+16,10671.0,-2.5322557802822717e+26
10619,9781,8868,8707,11005,12374,10492,1,-29.137619223054084,11544083.956064017,-442114028690.85895,-3.388465091731359e+16,10619.0,-3.8683360086132584e+26
10573,9718,8775,8632,11161,12346,10319,1,-23.595421987593863,11793711.17012523,-474675897501.1235,-3.33223868002656e+16,10573.0,-4.137398009781328e+26
10717,9837,8902,8773,11558,12299,10317,1,-16.61904183061901,11620427.22793239,-469009820312.4829,-3.575372192759809e+16,10717.0,-4.7492706996595473e+26
