B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7
10673,9825,8883,8718,10763,12120,10502,1,-20.30163433788087,8883.0,-92440686.0,10336.000000487316,113912929.0,2307664584121.0,2167237889273.0
10662,9813,8894,8749,10984,12110,10614,1,-11.96432254412598,8894.0,-96021672.0,10468.000000692542,113678244.0,2353523045658.0,2211006214158.0
10624,9769,8849,8733,11278,12429,10449,1,-9.27142701704694,8849.0,-97640042.99999997,10332.000001573204,112869376.0,2336431184896.0,2133190130962.0
10721,9824,8854,8676,11250,12315,10381,1,-12.71902034065487,8854.0,-95262452.00000001,10202.000001597688,114939841.0,2345424539595.0,2117369894049.0
10630,9751,8783,8512,11317,11733,10050,1,-15.701441671473672,8783.0,-92244536.99999999,9778.000002391906,112996900.0,2250726052630.0,1969750765630.0
10613,9749,8826,8635,11670,12479,10320,1,-7.736816169689579,8826.0,-99417893.00000001,10128.000002523599,112635769.0,2345940831653.0,2076583805813.0
10618,9741,8788,8575,10745,11851,10417,1,-20.857124477764955,8788.0,-90562882.0,10203.000000609063,112741924.0,2265909475734.0,2114067596116.0
10671,9814,8851,8599,10328,11467,10300,1,63.07925836156255,8851.0,-85203498.0,10047.000000052594,113870241.0,2213833415271.0,2082334530671.0
10619,9781,8868,8707,11005,12374,10492,1,-12.377483405037667,8868.0,-95129310.00000001,10330.000000962249,112763161.0,2315862805347.0,2153425346587.0
10573,9718,8775,8632,11161,12346,10319,1,-10.801589555968427,8775.0,-94787792.00000001,10175.00000159927,111788329.0,2277957100346.0,2069579517369.0
10717,9837,8902,8773,11558,12299,10317,1,-9.400203245943105,8902.0,-98783958.0,10187.000002362387,114854089.0,2365587158872.0,2094110191303.0
10674,9786,8853,8637,10503,11836,10481,1,-47.14701338233231,8853.0,-88850991.00000003,10264.000000040713,113934276.0,2269815532740.0,2150010848166.0
10737,9872,8883,8711,11112,11989,10225,1,-20.869400446820297,8883.0,-92771975.00000001,10052.00000167597,115283169.0,2303745762537.0,2064247550737.0
10761,9874,8880,8627,10835,11981,10230,1,-81.49784087021648,8880.0,-88984886.00000001,9976.00000110823,115799121.0,2279750897031.0,2066685479961.0
10706,9830,8831,8559,10422,11284,10146,1,38.118881382305894,8831.0,-84047894.0,9873.00000051898,114618436.0,2199834545858.0,2023826283266.0
10629,9753,8797,8563,11070,11748,10107,1,-20.52694769070286,8797.0,-90847314.0,9872.000001835506,112975641.0,2236958740998.0,1992566174823.0
10619,9739,8826,8637,10686,12006,10480,1,-19.842908451667576,8826.0,-91168273.00000001,10290.000000385353,112763161.0,2273039436619.0,2139276541819.0
10643,9791,8812,8551,10297,11944,10763,1,-43.99766639152038,8812.0,-88646726.99999999,10500.999999180569,113273449.0,2301092644235.0,2268421364001.0
10603,9758,8852,8694,11195,12382,10649,1,-8.635444357327412,8852.0,-98359141.99999997,10490.00000101081,112423609.0,2365831464294.0,2213137849319.0
10651,9751,8811,8667,10953,12102,10598,1,-11.693593400383504,8811.0,-94797668.0,10453.000000656484,113443801.0,2337052996443.0,2190417923859.0
10602,9686,8752,8528,10743,11760,10365,1,-20.593492044838804,8752.0,-89758446.0,10140.000000704416,112402404.0,2244937304772.0,2081196445302.0
10717,9864,8921,8722,11475,12366,10305,1,-11.293613142546162,8921.0,-97357122.0,10105.000002181536,114854089.0,2356651109932.0,2094976007917.0
10747,9867,8883,8625,10437,11658,10306,1,58.32559110402655,8883.0,-85830480.0,10047.00000024134,115498009.0,2248842259675.0,2096019903571.0
10767,9891,8915,8712,10937,12003,10497,1,-21.501092958729245,8915.0,-93131334.0,10293.000000802815,115928289.0,2354005543539.0,2179719422805.0
10677,9815,8855,8639,10517,12152,10983,1,-16.3744056168272,8855.0,-93311737.00000001,10765.999999188221,113998329.0,2384241973689.0,2367894063747.0
10599,9773,8833,8689,11114,12769,10842,1,-8.020863267794734,8833.0,-99239233.0,10697.000000487504,112338801.0,2400216206145.0,2297612060943.0
10580,9704,8727,8532,10374,11555,10247,1,-138.4468669259405,8727.0,-85428379.99999997,10051.00000024198,111936400.0,2176721444860.0,2037859593252.0
10612,9746,8787,8616,10803,11980,10401,1,-17.714536859413588,8787.0,-91476501.99999999,10229.000000754611,112614544.0,2268104351800.0,2108660183704.0
10653,9782,8808,8583,10758,11992,10338,1,-28.960179617753717,8808.0,-89758164.0,10112.000000775082,113486409.0,2262084876213.0,2090887720269.0
10546,9721,8778,8656,11122,12602,10561,1,-8.77391172175762,8778.0,-97015312.0,10438.000001045066,111218116.0,2321416356504.0,2168458056228.0
10253,9364,8356,7946,9328,9634,8934,1,6.031585679356089,8356.0,-62327864.0,8523.000000850672,105124009.0,1712192855237.0,1494800725421.0
10268,9442,8585,8444,10912,12257,10490,1,-7.129423990843802,8585.0,-94658207.99999997,10348.000000818742,105431824.0,2192356217548.0,2077997258668.0
10211,9321,8307,7955,9437,10189,9363,1,9.3665568189065,8307.0,-67268211.00000001,9010.000000152095,104264521.0,1793369723705.0,1634265275909.0
10203,9355,8391,8075,9856,10889,9563,1,21.10413983481355,8391.0,-73975040.00000003,9246.000000595479,104101209.0,1874442043182.0,1711047640193.0
10255,9358,8413,8100,9793,10926,9840,1,28.66162622265363,8413.0,-75380604.0,9525.99999990751,105165025.0,1932512099455.0,1812187939855.0
