B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2
10784,9879,8750,8262,9849,9824,8941,1,-7.41016698721251e-13,1.7617791145596327e-24
10745,9865,8773,8269,9488,9839,9319,1,-7.994774604197108e-13,2.3044032985231337e-24
10701,9791,8653,8149,9375,9685,9128,1,-8.250776271863386e-13,2.389338153892422e-24
10620,9685,8539,7995,9064,9649,9149,1,-8.834441540418189e-13,2.801671083592849e-24
10692,9783,8700,8175,9367,9756,9280,1,-8.195341128828198e-13,2.44024773291868e-24
10762,9863,8715,8194,9423,9699,9217,1,-8.089874245191608e-13,2.333767596315774e-24
10859,9947,8822,8301,9539,9673,9194,1,-7.95166268697724e-13,2.2781019300135235e-24
10882,10005,8907,8438,9704,9883,9452,1,-7.575202449672879e-13,2.1390951964288423e-24
10820,9949,8849,8397,9716,9866,9414,1,-7.547173486846159e-13,2.102029221110638e-24
10742,9872,8802,8312,9750,9937,9313,1,-7.451135668650303e-13,1.9340307349984728e-24
10674,9784,8668,8245,9656,9664,8955,1,-7.899448281031718e-13,2.1269074689642358e-24
10681,9779,8654,8155,9516,9617,9047,1,-7.98671386058364e-13,2.2105861118124818e-24
10804,9880,8768,8205,9335,9518,9074,1,-8.441718257575753e-13,2.5997101725841056e-24
10737,9866,8729,8179,9471,9453,8837,1,-8.298987270561612e-13,2.3268559484203917e-24
10821,9958,8850,8380,9709,9638,9156,1,-7.744463779952881e-13,2.1724761056068534e-24
10856,9969,8869,8360,9538,9573,9123,1,-8.132668891666128e-13,2.4428507107783604e-24
10743,9854,8739,8245,9325,9693,9247,1,-8.439337692960954e-13,2.6721545997692084e-24
10707,9792,8725,8247,9461,9815,9260,1,-8.100318068945151e-13,2.3723769084027553e-24
10685,9793,8685,8231,9594,9676,8989,1,-7.987670731861446e-13,2.179757599235006e-24
10695,9836,8844,8482,10226,10188,9057,1,-6.945667904810059e-13,1.561337020680185e-24
10549,9739,8849,8767,11400,11354,9789,1,-5.023863584393902e-13,9.304797536373021e-25
10628,9817,8818,8692,10528,11323,10314,1,-5.906403784392826e-13,1.2708616372133223e-24
10748,9962,8993,8839,10652,11823,10959,1,-5.488001353458393e-13,1.1418963938340086e-24
10795,9988,9057,8903,10622,12124,11412,1,-5.368703824067885e-13,1.140344655027876e-24
10774,9984,8961,8789,10395,11506,10805,1,-5.907499662775847e-13,1.3363631713640063e-24
10826,10063,9110,8964,10649,11768,11169,1,-5.50294156254137e-13,1.2167059165400053e-24
10761,9989,8933,8750,10644,11664,10554,1,-5.590257168280407e-13,1.0960429885150265e-24
10613,9753,8778,8561,10904,11375,10308,1,-5.167481036194895e-13,1.0122186912663622e-24
10672,9863,8941,8801,10742,11295,10361,1,-5.651465849325927e-13,1.2084695550664111e-24
10829,9984,8882,8431,9926,9600,8848,1,-7.58580890855927e-13,1.932655089145116e-24
10725,9905,8914,8732,10479,11370,10473,1,-5.899287047887098e-13,1.2819808475617145e-24
10830,9992,8996,8765,10498,11234,10430,1,-5.878565621366739e-13,1.2831339944388914e-24
10949,10155,9201,9026,10971,12065,11182,1,-5.039159089214715e-13,9.710022521196444e-25
10832,9959,8924,8415,9847,9656,8970,1,-7.633001232032286e-13,1.9995204564815227e-24
10828,9929,8837,8339,9720,9645,9004,1,-7.766858972255011e-13,2.079239282693948e-24
10833,9929,8875,8411,9727,9723,9124,1,-7.777222045676412e-13,2.1615998693037767e-24
10770,9893,8883,8418,9797,9886,9286,1,-7.535188759703918e-13,2.038628823118088e-24
10733,9866,8855,8444,9950,9945,9193,1,-7.335822552394241e-13,1.8730254398045187e-24
10717,9876,8955,8629,10834,10457,9222,1,-5.92455991199929e-13,1.1976004894908252e-24
10839,9967,8872,8378,9582,9310,8726,1,-8.435440909909835e-13,2.5237021738250697e-24
10970,10184,9210,9030,10858,11746,10839,1,-5.35710482875865e-13,1.0715282068510449e-24
10838,10052,9059,8843,10668,11674,10719,1,-5.544301144198484e-13,1.118442114187163e-24
10721,9887,8844,8612,10579,11336,10274,1,-5.687210899045471e-13,1.1406113754402068e-24
10722,9956,8978,8768,10864,11395,10239,1,-5.461330579468588e-13,1.059533648337284e-24
10919,10029,8992,8549,9990,9499,8817,1,-7.614308395986253e-13,2.026563915764937e-24
