B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9
10669,9839,8912,8714,10755,11878,10681,1,0.27577870757787076,1.1970497903553503,-1.118198062458554e+28,8912.0,2039.0,299172534.6965884,1955.0,-103505162.0,11878.0
10647,9811,8915,8756,12180,12416,10187,1,0.2874384236453202,1.194177434421804,-1.3027381843713659e+28,8915.0,2605.0,329771620.60527086,1891.0,-108715829.0,12416.0
10696,9836,8897,8738,10936,12222,10531,1,0.3040416971470373,1.2021015999774722,-1.1229613505731804e+28,8897.0,2386.0,312219138.2635545,1958.0,-106796588.0,12222.0
10636,9778,8846,8617,11981,12523,10166,1,0.30690259577664636,1.2022491371281165,-1.2346917629855016e+28,8846.0,2745.0,332320878.12032676,2019.0,-107912116.0,12523.0
10625,9760,8839,8611,11444,12597,10569,1,0.3283816847256204,1.2019567267470768,-1.2143914634809191e+28,8839.0,2837.0,333570973.76573324,2014.0,-108473874.0,12597.0
10640,9778,8812,8583,10493,11864,10512,1,0.29086057371581053,1.2073361503416742,-1.005218934315219e+28,8812.0,2086.0,294936952.24361175,2057.0,-101829098.0,11864.0
10711,9841,8909,8689,10565,11835,10524,1,0.2769522006625651,1.2021684923467775,-1.0509658975423812e+28,8909.0,1994.0,293957058.0961502,2022.0,-102834694.0,11835.0
10673,9825,8883,8718,10763,12120,10502,1,0.30075257827743196,1.2014071495701164,-1.0760105942128147e+28,8883.0,2295.0,306298305.8133894,1955.0,-105662836.0,12120.0
10662,9813,8894,8749,10984,12110,10614,1,0.29278951201748,1.198684096495589,-1.1463365731713998e+28,8894.0,2297.0,309446540.229897,1913.0,-105950967.0,12110.0
10624,9769,8849,8733,11278,12429,10449,1,0.3174321688242596,1.2004854087285246,-1.1552875582148383e+28,8849.0,2660.0,322983443.7188297,1891.0,-108543517.0,12429.0
10721,9824,8854,8676,11250,12315,10381,1,0.30764444444444444,1.2107634841475796,-1.1462986038399848e+28,8854.0,2491.0,318013401.25927806,2045.0,-106845904.0,12315.0
10630,9751,8783,8512,11317,11733,10050,1,0.2606697888132897,1.2101901470132297,-1.0607518317970006e+28,8783.0,1982.0,294844357.0120704,2118.0,-99872011.0,11733.0
10613,9749,8826,8635,11670,12479,10320,1,0.3130248500428449,1.2023674843859142,-1.1991323576167606e+28,8826.0,2730.0,328706962.31531584,1978.0,-107757401.0,12479.0
10618,9741,8788,8575,10745,11851,10417,1,0.2850628199162401,1.2081361951487064,-1.0273560687369455e+28,8788.0,2110.0,296368518.66598576,2043.0,-101622806.0,11851.0
10671,9814,8851,8599,10328,11467,10300,1,0.2532920216886135,1.2055286230717306,-9.460121508019944e+27,8851.0,1653.0,276051973.0569781,2072.0,-98604937.0,11467.0
10619,9781,8868,8707,11005,12374,10492,1,0.3185824625170377,1.1973494918510579,-1.1133498438556775e+28,8868.0,2593.0,318556031.43700016,1912.0,-107741387.0,12374.0
10573,9718,8775,8632,11161,12346,10319,1,0.3199534091927247,1.2047975184259916,-1.079876098911872e+28,8775.0,2628.0,317808441.6243182,1941.0,-106571756.0,12346.0
10717,9837,8902,8773,11558,12299,10317,1,0.29390898079252464,1.2037852005374714,-1.207593194857502e+28,8902.0,2462.0,319471535.02358204,1944.0,-107900174.0,12299.0
10674,9786,8853,8637,10503,11836,10481,1,0.28401409121203464,1.2055959334716244,-1.013772030613193e+28,8853.0,2050.0,293318100.2504169,2037.0,-102227954.0,11836.0
10737,9872,8883,8711,11112,11989,10225,1,0.2795176385889129,1.2086121028751378,-1.0937382018023488e+28,8883.0,2117.0,302174224.24658304,2026.0,-104436954.0,11989.0
10761,9874,8880,8627,10835,11981,10230,1,0.2862021227503461,1.2117232344001159,-1.042527853524273e+28,8880.0,2107.0,299602718.0661873,2134.0,-103360844.0,11981.0
10706,9830,8831,8559,10422,11284,10146,1,0.23536749184417577,1.2122189164553339,-9.335527604204064e+27,8831.0,1454.0,268927611.40512794,2147.0,-96579895.0,11284.0
10629,9753,8797,8563,11070,11748,10107,1,0.26657633242999096,1.2081503989596356,-1.0296778472873351e+28,8797.0,1995.0,292879170.00386745,2066.0,-100598809.0,11748.0
10619,9739,8826,8637,10686,12006,10480,1,0.29758562605277933,1.2030476548389872,-1.0374433167375885e+28,8826.0,2267.0,301709099.9148152,1982.0,-103696435.0,12006.0
10643,9791,8812,8551,10297,11944,10763,1,0.3041662620180635,1.2076824606986045,-1.0150820555404322e+28,8812.0,2153.0,298531394.9120541,2092.0,-102133346.0,11944.0
